ImageID,Timestamp,PersonX,PersonY,Orientation,left_shoulderX,left_shoulderY,left_shoulderZ,right_shoulderX,right_shoulderY,right_shoulderZ
0,1680179784551976813,2.066,-0.232,2.048,1.932,-0.341,0.323,2.347,-0.125,0.313
1,1680179784551976813,2.047,-0.239,2.118,1.924,-0.346,0.328,2.26,-0.141,0.318
2,1680179784717079732,2.045,-0.255,2.074,1.918,-0.351,0.32,2.2,-0.194,0.317
3,1680179785095986972,2.147,-0.307,1.889,1.896,-0.383,0.31,2.526,-0.176,0.388
4,1680179785416439994,2.136,-0.2,2.849,2.144,-0.381,0.309,2.244,-0.05,0.354
5,1680179786245868696,2.18,-0.124,-2.819,2.251,-0.295,0.357,2.138,0.046,0.314
6,1680179786339430603,2.183,-0.126,-2.93,2.229,-0.313,0.361,2.155,0.03,0.319
7,1680179786479019029,2.193,-0.131,-2.889,2.285,-0.331,0.368,2.194,0.023,0.319
8,1680179786546957963,2.161,-0.223,2.948,2.154,-0.393,0.346,2.217,-0.052,0.307
9,1680179786614053421,2.141,-0.261,2.793,2.101,-0.434,0.337,2.217,-0.113,0.317
10,1680179786781834931,2.15,-0.279,2.497,2.05,-0.442,0.331,2.286,-0.134,0.334
11,1680179786819979398,2.121,-0.311,2.422,2.018,-0.459,0.323,2.263,-0.175,0.336
12,1680179787085431483,2.048,-0.352,2.172,1.955,-0.458,0.313,2.247,-0.255,0.317
13,1680179787124086102,2.046,-0.353,2.09,1.934,-0.461,0.306,2.26,-0.274,0.317
14,1680179787279431155,2.048,-0.356,2.021,1.928,-0.46,0.305,2.299,-0.281,0.323
15,1680179787348942504,2.042,-0.367,2.044,1.936,-0.463,0.309,2.302,-0.276,0.336
16,1680179787450436083,2.052,-0.372,2.169,1.955,-0.473,0.31,2.265,-0.266,0.344
17,1680179787519132116,2.063,-0.377,2.268,1.989,-0.5,0.297,2.286,-0.251,0.349
18,1680179787641911021,2.112,-0.352,2.405,2.015,-0.506,0.289,2.277,-0.222,0.349
19,1680179787775383854,2.154,-0.341,2.542,2.057,-0.497,0.303,2.261,-0.192,0.363
